scenario,probability
s_000,0.014232898566135747
s_001,0.010874625100705432
s_002,0.010710156604562699
s_003,0.0032547878733200906
s_004,0.004431278003035051
s_005,0.009558825980504752
s_006,0.004508758453296676
s_007,0.00452098728482113
s_008,0.005724685945301269
s_009,0.01043170419933657
s_010,0.003135047527994583
s_011,0.009875772972182752
s_012,0.0010564594549716114
s_013,0.00654947342684609
s_014,0.010529616478011131
s_015,0.0009858904339361267
s_016,0.013891476946665399
s_017,0.010937356745701454
s_018,0.011204869968140617
s_019,0.01262907351010396
s_020,0.008968588778883025
s_021,0.011987964588227092
s_022,0.003536071224291348
s_023,0.014685324147080724
s_024,0.0075099479110703115
s_025,0.009749897230791012
s_026,0.003852544527734289
s_027,0.012584899861790916
s_028,0.005144402391111627
s_029,0.008061742622031172
s_030,0.01394499925553871
s_031,0.004104208032550433
s_032,0.008258394666214563
s_033,0.0025898632948179135
s_034,0.009600362756352322
s_035,0.0026503627135380094
s_036,0.00782215669634507
s_037,0.0010722419943363073
s_038,0.004076351521065474
s_039,0.00654918954144847
s_040,0.010159481549394467
s_041,0.014084984039110116
s_042,0.004901318045559461
s_043,0.0016468593182272203
s_044,0.006389491626266554
s_045,0.004476769752071481
s_046,0.010997458125902483
s_047,0.011820713279014454
s_048,0.005723234807783141
s_049,0.011324812514644258
s_050,0.011974565595740066
s_051,0.0025303675728506644
s_052,0.0010095639875095108
s_053,0.009578661171096363
s_054,0.014294803978824091
s_055,0.009203678631356009
s_056,0.010060414146200422
s_057,0.012016321155187821
s_058,0.012481810034908093
s_059,0.009759793974204286
s_060,0.013150678086666043
s_061,0.011648306986014233
s_062,0.0003897706322772703
s_063,0.01483517597515644
s_064,0.010131651963439852
s_065,0.007918219071569619
s_066,0.002597801778448941
s_067,0.005721317209477772
s_068,0.006684236633487607
s_069,0.012846992351833172
s_070,0.01118645834162356
s_071,0.008307705227379022
s_072,0.010689072569434301
s_073,0.013058425562140024
s_074,0.001190200466481865
s_075,0.010182308704200076
s_076,0.00973596783870342
s_077,0.005615046460471148
s_078,0.0029930992527962704
s_079,0.007646540979351524
s_080,0.007087449216929116
s_081,0.005313825585691717
s_082,0.014282714439142858
s_083,0.013626674303747748
s_084,0.0027037412499524923
s_085,0.00384171412173429
s_086,0.014514505937412362
s_087,0.00028734187627837125
s_088,0.007066015497526135
s_089,0.00038390551599264155
s_090,0.014274979003931602
s_091,0.007473248659608835
s_092,0.00243151443281961
s_093,0.014755206890881866
s_094,0.008044503790605683
s_095,0.0063947096827264354
s_096,0.014484198205118617
s_097,0.0014691038496425569
s_098,0.00870684511462536
s_099,0.002592713413461501
s_100,2.00567262267248e-05
s_101,0.0030904360110322487
s_102,0.012470057821803236
s_103,0.010210162041026444
s_104,0.014694229793759292
s_105,0.0027409895128450903
s_106,0.011883364290413746
s_107,0.008859838540195359
s_108,0.008249430126375874
s_109,0.006781669908584796
s_110,0.013686012938007924
s_111,0.009697144862831415
s_112,0.004055464814910254
s_113,0.012489104678520041
s_114,0.0013284439278808274
s_115,0.011734621758607027
s_116,0.011951425638994095
s_117,0.01084812184827584
s_118,0.014352783330902156
s_119,0.00667393227732483
s_120,0.012157674511584015
s_121,0.0007020020073399024
s_122,0.00554193328647819
s_123,0.0004934244427060749
s_124,0.008795425487949956
